Írán potvrdil, že Rusku dodal drony. Tvrdí, že tak učinil ještě před válkou;Teherán/Moskva/Kyjev - Írán dnes poprvé potvrdil, že Moskvě dodal drony, upozornila agentura Reuters. Íránský ministr zahraničních věcí Hosejn Amírabdolláhján sdělil, že Teherán...
KLDR odpálila čtyři rakety, do cvičení v Jižní Korejí zapojí i bombardéry B-1B;Pchjongjang/Soul - KLDR dnes odpálila další čtyři balistické rakety krátkého doletu, všechny dopadly do moře. Informovala o tom jihokorejská armáda. Pchjongjang tento týden provedl desítky...
Scholz ocenil Čínu za jasný postoj vůči ruským jaderným pohrůžkám;Berlín - Německo bude pokračovat v rozvíjení hospodářských vztahů s Čínou, ale sníží svou závislost. Dnes to podle agentury Reuters řekl německý kancléř Olaf Scholz, který byl...
Při požáru v nočním klubu v Rusku zemřelo 13 lidí;Moskva - Při požáru v nočním klubu v ruském městě Kostroma zemřelo v noci na dnešek 13 lidí, oznámily podle ruského servisu BBC úřady. Ráno záchranáři hovořili o 15 mrtvých, ale...
Írán hlásí úspěšný test vesmírné rakety;Teherán - Írán dnes úspěšně vyzkoušel novou třístupňovou raketu Ghaím-100, která je určena k vynesení satelitů na oběžnou dráhu, informovala podle zahraničních agentur íránská...
CNN: Na Ukrajině nefunguje přes 1000 terminálů Muskovy satelitní sítě;Kyjev - Na Ukrajině bylo zhruba před dvěma týdny kvůli nezaplaceným účtům odpojeno 1300 terminálů potřebných pro připojení k satelitní síti Starlink provozovanou společností SpaceX...
Zelenskyj: Rusko o míru vyjednávat nechce, na bojiště stále posílá nové vojáky;Kyjev - Rusko nechce s Ukrajinou vyjednávat o ukončení války, stále posílá na bojiště tisíce nových vojáků a skrytě pokračuje v částečné mobilizaci, kterou už označilo za skončenou....
AP: Jak si vlastně chudá KLDR může dovolit tolik raketových testů?;Pchjongjang - Severní Korea tento týden uskutečnila  řadu raketových testů, při kterých vypustila nejméně dvě desítky střel, a to včetně jedné mezikontinentální balistické rakety...
Jihem USA se přehnala tornáda, jeden člověk zemřel, zraněných jsou desítky;Austin (USA) - Částmi amerických států Texas, Arkansas a Oklahoma se v pátek prohnala silná bouře s tornády. Živel srovnal se zemí desítky budov, nejméně jeden člověk zemřel a dvě...
Američané volí nový Kongres, podle průzkumů se bude dařit republikánům;Washington - Spojené státy 8. listopadu čekají volby, jež se konají v polovině čtyřletého funkčního období prezidenta. Hlasovat se bude o složení celé Sněmovny reprezentantů a třetiny...
Stoltenberg jednal s Erdoganem o rozšíření NATO a obilném koridoru;Ankara - Ruská agrese vůči Ukrajině a ratifikace vstupu Švédska a Finska do Severoatlantické aliance byly hlavními tématy, o nichž dnes hovořil v Istanbulu generální tajemník NATO Jens...
Írán podle zdrojů CNN žádá Rusko o pomoc s jaderným programem;Washington/Teherán - Írán žádá Rusko o pomoc se svým jaderným programem a chce po něm dodávky radioaktivního materiálu a technologií na výrobu jaderného paliva. Informovala o tom dnes...
USA budou podporovat Ukrajinu i po volbách, řekl v Kyjevě Bidenův poradce;Kyjev - Spojené státy budou dál "neochějně podporovat" Ukrajinu i po nadcházejících volbách do Kongresu. V Kyjevě to dnes řekl bezpečnostní poradce amerického prezidenta Joea...
Použití chemických zbraní na Ukrajině bude mít pro Rusko následky, varuje G7;Münster (Německo) - Použití chemických, biologických nebo jaderných zbraní na Ukrajině bude mít pro Rusko vážné důsledky, varovali dnes ministři zahraničí skupiny vyspělých ekonomik...
Podle Putina je nutná evakuace obyvatel Chersonu;Moskva - Ruský prezident Vladimir Putin dnes podle deníku Kommersant prohlásil, že z ukrajinského Chersonu je potřeba evakuovat všechny civilisty, kteří žijí v zónách "nejnebezpečnějších...
USA a Nizozemsko zaplatí renovaci 90 českých tanků T-72 pro Ukrajinu;Washington/Amsterodam/Praha - Spojené státy a Nizozemsko společně zaplatí renovaci 90 českých tanků T-72B pro ukrajinskou armádu. Dnes to oznámila tisková mluvčí Pentagonu Sabrina Singhová....
Generální tajemník OSN vyzval KLDR k obnovení rozhovorů o jaderném odzbrojení;New York - Generální tajemník OSN António Guterres dnes odsoudil Severní Koreu za nedávné odpálení balistických raket, uvedla agentura Reuters s odvoláním na jeho mluvčího. Guterres také...
Papež kritizoval obnovu zastaralého konceptu dělení světa na nepřátelské tábory;Manáma - Papež František dnes kritizoval politiku rozdělování světa na Východ a Západ a obnovu už překonaných politických konceptů. Na mezinárodní konferenci v Bahrajnu vyzval k jednotě...
Putin: Střet s ukrajinským "neonacistickým režimem" byl nevyhnutelný;Moskva - Střet Ruska s ukrajinským "neonacistickým režimem" byl nevyhnutelný, řekl v projevu ke Dni národní jednoty ruský prezident Vladimir Putin. Boje na Ukrajině se podle něj...
Čínský prezident řekl Scholzovi, že je třeba odmítnout hrozby jadernými zbraněmi;Peking - Čínský prezident Si Ťin-pching na jednání s německým kancléřem Olafem Scholzem řekl, že je třeba, aby svět zamítl hrozby jadernými zbraněmi nebo jejich použití. Podle agentury...
Ukrajinská armáda hlásí těžké boje v Donbasu;Kyjev - Ukrajinská armáda hlásí těžké boje v Donbasu, cílem ruských útoků jsou především města Bachmut, Soledar a Avdijivka. Informovala o tom agentura DPA s odvoláním na armádního...
Rusko umožní mobilizaci lidí, kteří spáchali závažné trestné činy;Moskva - Ruský prezident Vladimir Putin dnes podepsal výnos, na jehož základě bude možné mobilizovat také osoby, které spáchaly některé závažné trestné činy. Celkem bylo podle Putina...
Kvůli přetížení sítě po ruských útocích nemá v Kyjevě proud 450.000 domácností;Kyjev - V Kyjevě je dnes bez proudu 450.000 domácností, sdělil na sociálních sítích starosta města Vitalij Kličko. Je to podle něj důsledek stabilizačních odstávek, které si vynucuje...
Předvolební kampaň v USA vrcholí, Trump naznačuje prezidentskou kandidaturu;Washington - Ve Spojených státech vrcholí kampaň před nadcházejícími volbami do amerického Kongresu, v nichž voliči rozhodnou o novém složení celé Sněmovny reprezentantů a třetiny...
V ruské armádě se podle Londýna rozmáhá vyhrožování dezertérům zastřelením;Kyjev - Ruská armáda pravděpodobně začala na Ukrajině nasazovat takzvané blokační nebo protiústupové jednotky, jejichž úkolem je odrazovat ruské vojáky od útěku tak, že jim hrozí...
Soul vyslal stíhačky v reakci na desítky přeletů vojenských letadel KLDR;Soul - Jižní Korea dnes vyslala do vzduchu desítky svých válečných letounů, včetně stíhaček F-35A, v reakci na 180 přeletů severokorejských vojenských letadel nedaleko společné hranice....
Rusko vede svatou válku proti Satanovi, uvedl Medveděv;Moskva - Místopředseda ruské bezpečnostní rady a bývalý prezident Dmitrij Medveděv v souvislosti s invazí na Ukrajinu uvedl, že Rusko válčí proti "umírajícímu světu" s jeho...
Ukrajinka se provdá za vojáka, aby v případě jeho smrti pomohla jeho partnerovi;Kyjev - Třiatřicetiletá Leda Kosmačevská z Kyjeva na sociálních sítích oznámila, že přijala nabídku k sňatku. Provdá se za kamaráda, který nyní slouží v ukrajinské armádě a který...
